발생시간,발생지역,검토상태,쓰나미여부,영향도,데이터유형,규모,지역,경도,위도,진원깊이,발생일시,cluster,c,cluster_4
1625877835986,"215 km NW of Tobelo, Indonesia",reviewed,0,572,earthquake,6.1, Indonesia,126.4984,2.9494,44.33,2021-07-10 00:43:55.986000+00:00,2,red,0
1621034773976,"210 km W of Attu Station, Alaska",reviewed,0,298,earthquake,4.4, Alaska,170.0898,53.1244,10.0,2021-05-14 23:26:13.976000+00:00,0,pink,3
1660041461447,"Off the coast of Aisen, Chile",reviewed,0,500,earthquake,5.7, Chile,-80.078,-44.5957,10.0,2022-08-09 10:37:41.447000+00:00,0,red,0
1636945478502,"61 km NNW of Bandar Abbas, Iran",reviewed,0,271,earthquake,4.2, Iran,55.9639,27.6686,10.0,2021-11-15 03:04:38.502000+00:00,0,pink,3
1612794239729,"90 km SE of Kushiro, Japan",reviewed,0,385,earthquake,5.0, Japan,145.0164,42.3125,27.95,2021-02-08 14:23:59.729000+00:00,0,red,0
1664961487235,"73 km SE of Adak, Alaska",reviewed,0,148,earthquake,3.1, Alaska,-175.9264,51.3765,35.0,2022-10-05 09:18:07.235000+00:00,1,blue,1
1611242191740,"6 km SW of Guánica, Puerto Rico",reviewed,0,173,earthquake,3.34, Puerto Rico,-66.9485,17.9278,5.0,2021-01-21 15:16:31.740000+00:00,1,blue,1
1651400098813,South Sandwich Islands region,reviewed,0,312,earthquake,4.5,South Sandwich Islands region,-25.8898,-59.4066,32.86,2022-05-01 10:14:58.813000+00:00,2,green,2
1615054238456,"Kermadec Islands, New Zealand",reviewed,0,326,earthquake,4.6, New Zealand,-177.1623,-30.1372,10.0,2021-03-06 18:10:38.456000+00:00,0,pink,3
1629734413213,"97 km NNW of Güiria, Venezuela",reviewed,0,312,earthquake,4.5, Venezuela,-62.5258,11.4317,45.28,2021-08-23 16:00:13.213000+00:00,2,green,2
1649153308381,"232 km SE of Akutan, Alaska",reviewed,0,168,earthquake,3.3, Alaska,-163.6684,52.4699,10.0,2022-04-05 10:08:28.381000+00:00,1,blue,1
1642832478623,"Fox Islands, Aleutian Islands, Alaska",reviewed,0,178,earthquake,3.4, Aleutian Islands,-166.6712,53.2024,31.7,2022-01-22 06:21:18.623000+00:00,1,blue,1
1635205776100,"17km NW of San Simeon, CA",reviewed,0,206,earthquake,3.53,California,-121.3038333,35.7688333,6.46,2021-10-25 23:49:36.100000+00:00,1,blue,1
1680769979127,Kermadec Islands region,reviewed,0,284,earthquake,4.3,Kermadec Islands region,-177.6844,-28.4635,10.0,2023-04-06 08:32:59.127000+00:00,0,pink,3
1635437201225,"75 km WNW of Maubara, Timor Leste",reviewed,0,178,earthquake,3.4, Timor Leste,124.6286,-8.2364,10.0,2021-10-28 16:06:41.225000+00:00,1,blue,1
1686177348328,"16 km NE of San Vicente, Philippines",reviewed,0,271,earthquake,4.2, Philippines,122.2648,18.6075,10.0,2023-06-07 22:35:48.328000+00:00,0,pink,3
1676915612997,Solomon Islands,reviewed,0,401,earthquake,5.1,Solomon Islands,160.2453,-9.8056,10.005,2023-02-20 17:53:32.997000+00:00,0,red,0
1619295599858,"166 km NNW of Amahai, Indonesia",reviewed,0,340,earthquake,4.7, Indonesia,128.2083,-2.0166,10.0,2021-04-24 20:19:59.858000+00:00,0,pink,3
1670034988601,"241 km SW of Merizo Village, Guam",reviewed,0,326,earthquake,4.6, Guam,143.2862,11.5592,10.0,2022-12-03 02:36:28.601000+00:00,0,pink,3
1630347813691,"30 km S of Khanabad, Afghanistan",reviewed,0,340,earthquake,4.7, Afghanistan,69.1128,36.4122,49.45,2021-08-30 18:23:33.691000+00:00,2,green,2
1666294621621,southeast of the Loyalty Islands,reviewed,0,369,earthquake,4.9,southeast of the Loyalty Islands,169.2095,-21.5478,10.0,2022-10-20 19:37:01.621000+00:00,0,pink,3
1678236324953,Carlsberg Ridge,reviewed,0,312,earthquake,4.5,Carlsberg Ridge,56.9362,10.2138,10.0,2023-03-08 00:45:24.953000+00:00,0,pink,3
1672205812347,"79 km SSE of Port Graham, Alaska",reviewed,0,158,earthquake,3.2, Alaska,-151.4814,58.6578,7.1,2022-12-28 05:36:52.347000+00:00,1,blue,1
1643066806837,"8 km SW of Petite Rivière de Nippes, Haiti",reviewed,0,271,earthquake,4.2, Haiti,-73.2827,18.4179,10.0,2022-01-24 23:26:46.837000+00:00,0,pink,3
1673041765843,Kermadec Islands region,reviewed,0,298,earthquake,4.4,Kermadec Islands region,-178.5371,-31.2708,10.0,2023-01-06 21:49:25.843000+00:00,0,pink,3
1682458114500,"196 km SSE of Unalaska, Alaska",reviewed,0,148,earthquake,3.1, Alaska,-165.6507,52.1883,15.788,2023-04-25 21:28:34.500000+00:00,1,blue,1
1682330565248,"58 km N of Abadeh, Iran",reviewed,0,259,earthquake,4.1, Iran,52.6357,31.6883,10.0,2023-04-24 10:02:45.248000+00:00,0,pink,3
1627268258100,Kermadec Islands region,reviewed,0,369,earthquake,4.9,Kermadec Islands region,-176.8048,-29.7041,10.0,2021-07-26 02:57:38.100000+00:00,0,pink,3
